trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
881951,06:15:00,06:15:00,TDT-BOG-SAL,0,,0,0
881951,16:15:00,16:15:00,TDT-BUC,1,,0,0
881952,07:15:00,07:15:00,TDT-BOG-SAL,0,,0,0
881952,17:15:00,17:15:00,TDT-BUC,1,,0,0
881953,08:15:00,08:15:00,TDT-BOG-SAL,0,,0,0
881953,18:15:00,18:15:00,TDT-BUC,1,,0,0
881954,09:15:00,09:15:00,TDT-BOG-SAL,0,,0,0
881954,19:15:00,19:15:00,TDT-BUC,1,,0,0
881955,10:15:00,10:15:00,TDT-BOG-SAL,0,,0,0
881955,20:15:00,20:15:00,TDT-BUC,1,,0,0
881956,11:15:00,11:15:00,TDT-BOG-SAL,0,,0,0
881956,21:15:00,21:15:00,TDT-BUC,1,,0,0
881957,12:15:00,12:15:00,TDT-BOG-SAL,0,,0,0
881957,22:15:00,22:15:00,TDT-BUC,1,,0,0
881166,10:00:00,10:00:00,TDT-BOG-SAL,0,,0,0
881166,13:50:00,13:50:00,TDT-HON,1,,0,0
881167,12:30:00,12:30:00,TDT-BOG-SAL,0,,0,0
881167,16:20:00,16:20:00,TDT-HON,1,,0,0
881168,14:00:00,14:00:00,TDT-BOG-SAL,0,,0,0
881168,17:50:00,17:50:00,TDT-HON,1,,0,0
881169,16:00:00,16:00:00,TDT-BOG-SAL,0,,0,0
881169,19:50:00,19:50:00,TDT-HON,1,,0,0
881321,05:00:00,05:00:00,TDT-BUC,0,,0,0
881321,14:00:00,14:00:00,TDT-BOG-SAL,1,,0,0
881322,06:15:00,06:15:00,TDT-BUC,0,,0,0
881322,15:15:00,15:15:00,TDT-BOG-SAL,1,,0,0
881323,07:30:00,07:30:00,TDT-BUC,0,,0,0
881323,16:30:00,16:30:00,TDT-BOG-SAL,1,,0,0
881324,09:00:00,09:00:00,TDT-BUC,0,,0,0
881324,18:00:00,18:00:00,TDT-BOG-SAL,1,,0,0
881325,10:00:00,10:00:00,TDT-BUC,0,,0,0
881325,19:00:00,19:00:00,TDT-BOG-SAL,1,,0,0
881326,11:00:00,11:00:00,TDT-BUC,0,,0,0
881326,20:00:00,20:00:00,TDT-BOG-SAL,1,,0,0
881327,12:20:00,12:20:00,TDT-BUC,0,,0,0
881327,21:20:00,21:20:00,TDT-BOG-SAL,1,,0,0
887644,07:15:00,07:15:00,TDT-BOG-NTH,0,,0,0
887644,16:15:00,16:15:00,TDT-BUC,1,,0,0
887645,08:15:00,08:15:00,TDT-BOG-NTH,0,,0,0
887645,17:15:00,17:15:00,TDT-BUC,1,,0,0
887619,09:15:00,09:15:00,TDT-BOG-NTH,0,,0,0
887619,18:15:00,18:15:00,TDT-BUC,1,,0,0
887620,10:15:00,10:15:00,TDT-BOG-NTH,0,,0,0
887620,19:15:00,19:15:00,TDT-BUC,1,,0,0
887621,11:15:00,11:15:00,TDT-BOG-NTH,0,,0,0
887621,20:15:00,20:15:00,TDT-BUC,1,,0,0
887622,12:15:00,12:15:00,TDT-BOG-NTH,0,,0,0
887622,21:15:00,21:15:00,TDT-BUC,1,,0,0
887646,13:15:00,13:15:00,TDT-BOG-NTH,0,,0,0
887646,22:15:00,22:15:00,TDT-BUC,1,,0,0
910048,07:50:00,07:50:00,TDT-SGL,0,,0,0
910048,14:00:00,14:00:00,TDT-BOG-SAL,1,,0,0
910049,09:05:00,09:05:00,TDT-SGL,0,,0,0
910049,15:15:00,15:15:00,TDT-BOG-SAL,1,,0,0
910050,10:20:00,10:20:00,TDT-SGL,0,,0,0
910050,16:30:00,16:30:00,TDT-BOG-SAL,1,,0,0
910051,11:50:00,11:50:00,TDT-SGL,0,,0,0
910051,18:00:00,18:00:00,TDT-BOG-SAL,1,,0,0
910052,12:50:00,12:50:00,TDT-SGL,0,,0,0
910052,19:00:00,19:00:00,TDT-BOG-SAL,1,,0,0
910053,13:50:00,13:50:00,TDT-SGL,0,,0,0
910053,20:00:00,20:00:00,TDT-BOG-SAL,1,,0,0
910054,15:10:00,15:10:00,TDT-SGL,0,,0,0
910054,21:20:00,21:20:00,TDT-BOG-SAL,1,,0,0
887203,02:30:00,02:30:00,TDT-HON,0,,0,0
887203,07:00:00,07:00:00,TDT-BOG-SAL,1,,0,0
887204,07:30:00,07:30:00,TDT-HON,0,,0,0
887204,12:00:00,12:00:00,TDT-BOG-SAL,1,,0,0
887205,11:30:00,11:30:00,TDT-HON,0,,0,0
887205,16:00:00,16:00:00,TDT-BOG-SAL,1,,0,0
887208,13:00:00,13:00:00,TDT-HON,0,,0,0
887208,17:30:00,17:30:00,TDT-BOG-SAL,1,,0,0
887207,19:30:00,19:30:00,TDT-HON,0,,0,0
887207,24:00:00,24:00:00,TDT-BOG-SAL,1,,0,0
