route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,FULLWEEK,881951,,,,,,,0
0,FULLWEEK,881952,,,,,,,0
0,FULLWEEK,881953,,,,,,,0
0,FULLWEEK,881954,,,,,,,0
0,FULLWEEK,881955,,,,,,,0
0,FULLWEEK,881956,,,,,,,0
0,FULLWEEK,881957,,,,,,,0
1,FULLWEEK,881166,,,,,,,0
1,FULLWEEK,881167,,,,,,,0
1,FULLWEEK,881168,,,,,,,0
1,FULLWEEK,881169,,,,,,,0
2,FULLWEEK,881321,,,,,,,0
2,FULLWEEK,881322,,,,,,,0
2,FULLWEEK,881323,,,,,,,0
2,FULLWEEK,881324,,,,,,,0
2,FULLWEEK,881325,,,,,,,0
2,FULLWEEK,881326,,,,,,,0
2,FULLWEEK,881327,,,,,,,0
3,FULLWEEK,887644,,,,,,,0
3,FULLWEEK,887645,,,,,,,0
3,FULLWEEK,887619,,,,,,,0
3,FULLWEEK,887620,,,,,,,0
3,FULLWEEK,887621,,,,,,,0
3,FULLWEEK,887622,,,,,,,0
3,FULLWEEK,887646,,,,,,,0
4,FULLWEEK,910048,,,,,,,0
4,FULLWEEK,910049,,,,,,,0
4,FULLWEEK,910050,,,,,,,0
4,FULLWEEK,910051,,,,,,,0
4,FULLWEEK,910052,,,,,,,0
4,FULLWEEK,910053,,,,,,,0
4,FULLWEEK,910054,,,,,,,0
5,FULLWEEK,887203,,,,,,,0
5,FULLWEEK,887204,,,,,,,0
5,FULLWEEK,887205,,,,,,,0
5,FULLWEEK,887208,,,,,,,0
5,FULLWEEK,887207,,,,,,,0
